,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
70,Mmeow,Mmeow - Pioneer Junction,"[""Chinese""]",1.333624,103.69776,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TYSCN2UB6KLX/hero/1e7a8d7283744385b420f7611579d087_1621578999029596814.jpg,5.0,"[1.333624, 103.69776]",3,2
71,Tung Lok Seafood - JR,Tung Lok Seafood - JR - Upper Jurong Road,"[""Asian"", ""Chinese"", ""Local"", ""Seafood"", ""Singaporean""]",1.32968445,103.683186433235,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MUVA6UG2BGLN/hero/6a01596cb44548a7b925a55c8c1b0960_1617246961796087356.jpeg,4.4,"[1.32968445, 103.683186433235]",3,2
72,Kim San Leng Drinks & Snacks,Kim San Leng Drinks & Snacks - Pioneer Junction,"[""Beverages""]",1.3340851,103.6970773,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2JGAFLABXJ6/hero/206d0f6fbc2446329949b5c18e1d10f7_1621841805606611249.jpg,,"[1.3340851, 103.6970773]",3,2
73,PastaMania,PastaMania - Fairprice Hub,"[""Halal"", ""Italian"", ""Same Prices In-Store"", ""Pasta""]",1.327193,103.67885158,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EVGKCZR6NBTX/hero/cc43723362b143eaaf4a7a8476ca98db_1609248376390868966.jpeg,4.5,"[1.327193, 103.67885158]",3,2
74,Power Grill Western,Power Grill Western - Arena Country Club,"[""Western""]",1.3298756070447433,103.68085534,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2ATDAKAWEMZV2/hero/951c70b4d4ab48858d2c8fb4e49844ed_1601018121077811447.jpg,3.9,"[1.3298756070447433, 103.68085534]",3,2
75,Sing Yi Seafood Garden,Sing Yi Seafood Garden - Pioneer Point,"[""Local"", ""Seafood"", ""Chinese""]",1.33333,103.6983677,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AKCNUACK53R6/hero/7c9a246faded45d08f38574c6e7b8f04_1600918196189533258.jpeg,4.2,"[1.33333, 103.6983677]",3,2
76,Mookata Udon Thani,Mookata Udon Thani - Arena Country Club,"[""Thai""]",1.329479,103.682657,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2LUVUN3XFCN/hero/64dfbb01ae7f4071a346e2c10b14ce89_1621854651807619926.jpg,4.0,"[1.329479, 103.682657]",3,2
77,Lai Kee Dim Sum,Lai Kee Dim Sum - Pioneer Point,"[""Chinese"", ""Dim Sum""]",1.3333916,103.69843098,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZB1LKVFNYDKC2/hero/7454a79ad32b40da8b2dfb6304a5d6f1_1583807844872002507.jpeg,4.3,"[1.3333916, 103.69843098]",3,2
78,Kim San Leng Drinks & Snacks,Kim San Leng Drinks & Snacks - Pioneer Point,"[""Beverages""]",1.33328,103.69854,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2HATBJ351TE/hero/348ca9c5ebf14d34b5587b24d5b6e947_1621838201553104345.jpg,,"[1.33328, 103.69854]",3,2
79,Rasa Istimewa Restaurant,Rasa Istimewa Restaurant - Safra Jurong Club [Islandwide Delivery],"[""Halal"", ""Asian"", ""Seafood"", ""Local"", ""Islandwide Delivery""]",1.335383,103.7062931,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10157/hero/7163a8ce55894debb4535bbb30ec1a17_1565690903461526322.jpeg,4.5,"[1.335383, 103.7062931]",3,3
