name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j
Guan's Mee Pok,Guan's Mee Pok - Tampines Industrial Park A,"['Noodles', 'Same Prices In-Store']",1.3400290746379868,103.9429601997764,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '07:00-15:30', 'tue': '07:00-15:30', 'wed': '07:00-15:30', 'thu': '07:00-15:30', 'fri': '07:00-15:30', 'sat': '07:00-15:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKEB4DGPVZJ6/hero/a8f2a1da019a47aba7a78264e0d87415_1592920746779237262.jpg,5.0,"[1.3400290746379868, 103.9429601997764]",4,11
Zoul's Corner,Zoul's Corner - Tampines Ave 4 [Islandwide Delivery],"['Asian', 'Western', 'Local', 'Islandwide Delivery']",1.3476782,103.9380588531494,"{'open': True, 'displayedHours': '10:00-23:30', 'sun': '10:00-23:30', 'mon': '10:00-23:30', 'tue': '10:00-23:30', 'wed': '10:00-23:30', 'thu': '10:00-23:30', 'fri': '10:00-23:30', 'sat': '10:00-23:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07091/hero/upload-photo-Hero_Photo_e79a7d85d59c47d6afafcb3a4de45d81_1556590964455693785.jpeg,4.4,"[1.3476782, 103.9380588531494]",4,11
Indian Cuisine,Indian Cuisine - Our Tampines Hub [Islandwide Delivery],"['Indian', 'Dessert', 'Vegetarian']",1.3537286,103.93952737692308,"{'open': True, 'displayedHours': '10:30-23:45', 'sun': '10:00-23:59', 'mon': '10:00-23:30', 'tue': '10:00-23:59', 'wed': '10:00-23:30', 'thu': '10:00-23:59', 'fri': '10:00-23:30', 'sat': '10:30-23:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD02399/hero/upload-photo-Hero_Photo_de8bd6fd5df44b279297dc5eea3ab0ee_1555067738341927155.jpeg,3.7,"[1.3537286, 103.93952737692308]",4,11
SG Durian Boy,SG Durian Boy - Tampines Street 81,"['Durian', 'Local', 'Mart', 'Fresh Produce']",1.348879,103.934714,"{'open': True, 'displayedHours': '06:00-22:00', 'sun': '06:00-22:00', 'mon': '06:00-22:00', 'tue': '06:00-22:00', 'wed': '06:00-22:00', 'thu': '06:00-22:00', 'fri': '06:00-22:00', 'sat': '06:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LURKCGPGBVV2/hero/5eb8effadd524108ad6c3da08052561e_1615178475448105686.jpeg,2.5,"[1.348879, 103.934714]",4,11
Sheng Siong (BR),Sheng Siong (BR) - Bedok Reservoir Road,"['Convenience', 'Groceries']",1.3377944,103.9231017,"{'displayedHours': 'Closed', 'sun': '09:00-18:00', 'mon': '09:00-18:00', 'tue': '09:00-18:00', 'wed': '09:00-18:00', 'thu': '09:00-18:00', 'fri': '09:00-18:00', 'sat': '09:00-18:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KEERCFRJNULN/hero/6127bb8949924b5aafd3b5b8a7d62054_1612423845870573267.jpg,0.0,"[1.3377944, 103.9231017]",4,11
386 Thai Recipe,386 Thai Recipe - Tampines Industrial Park A [Islandwide Delivery],"['Asian', 'Thai']",1.3398557993147904,103.9431532073379,"{'displayedHours': 'Closed', 'sun': '10:00-20:30', 'mon': '10:00-20:30', 'tue': '10:00-20:30', 'wed': '10:00-20:30', 'thu': '10:00-20:30', 'fri': '10:00-20:30', 'sat': '10:00-20:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MVRVCHSGBZRX/hero/af801ce8f2dc4b49b0baeb1f333e1fb3_1620268761031435079.jpeg,3.0,"[1.3398557993147904, 103.9431532073379]",4,11
Lawa Bintang,Lawa Bintang - Tampines Street 93,"['Asian', 'Chicken', 'Seafood', 'Local']",1.341802045506705,103.94212917813744,"{'displayedHours': 'Closed', 'sun': '08:00-12:30', 'mon': 'Closed', 'tue': '08:00-12:30', 'wed': '08:00-12:30', 'thu': '08:00-12:30', 'fri': '08:00-12:30', 'sat': '08:00-12:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD10623/hero/e647a41dbf54455cb0af39462b3af681_1560760665398301000.jpeg,4.7,"[1.341802045506705, 103.94212917813744]",4,11
Phuket Beer,Phuket Beer - Waterfront Gold,"['Alcohol', 'Mart']",1.3385536,103.9283034,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': '10:00-10:10', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEATJEBPFCTFE/hero/3f814bee644246b1b3a94b38ed4b55bd_1588134584344416697.jpeg,0.0,"[1.3385536, 103.9283034]",4,11
The Sense House,The Sense House - Tampines Industrial Park A,"['Health & Wellness', 'Mart', 'Wellness', 'Healthy']",1.34014755,103.9414230875,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '09:30-17:00', 'tue': '09:30-17:00', 'wed': '09:30-17:00', 'thu': '09:30-17:00', 'fri': '09:30-17:00', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLXAEJ1BE31LT/hero/26b227649d0147c2ab56fcd5664788d4_1595430845118431873.jpeg,2.0,"[1.34014755, 103.9414230875]",4,11
7th Heaven,7th Heaven - Tampines SAFRA ,"['Fusion', 'Western', 'Italian']",1.3445433044001178,103.94157151358628,"{'open': True, 'displayedHours': '11:00-23:40', 'sun': '11:00-23:40', 'mon': 'Closed', 'tue': '11:00-23:40', 'wed': '11:00-23:40', 'thu': '11:00-23:40', 'fri': '11:00-23:40', 'sat': '11:00-23:40'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEAMCCZNZA1HE/hero/77aabf0eaa5f4e53a3f8498b792850c3_1609753301596962798.jpeg,4.1,"[1.3445433044001178, 103.94157151358628]",4,11
