name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town
Sheng Da BBQ Seafood,Sheng Da BBQ Seafood - Newton Food Centre [Islandwide Delivery] [Stall 2],"['BBQ', 'Asian', 'Seafood', 'Islandwide Delivery']",1.31174134,103.8393955,"{'open': True, 'displayedHours': '14:30-23:59', 'sun': '14:30-23:59', 'mon': '14:30-23:59', 'tue': 'Closed', 'wed': '14:30-23:59', 'thu': '14:30-23:59', 'fri': '14:30-23:59', 'sat': '14:30-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD3L6ETTLK3AT/hero/feefdac26bab48929c5aba9ec86df9fa_1590406122558738290.jpeg,4.4,"[1.31174134, 103.8393955]",3,8,NEWTON
Shiraz Indian Kitchen,Shiraz Indian Kitchen - Clemenceau Avenue North  [Islandwide Delivery],"['Indian', 'Middle Eastern', 'Salad', 'Vegetarian Friendly']",1.3121832126279944,103.83983973893513,"{'open': True, 'displayedHours': '11:30-21:30', 'sun': '11:30-21:30', 'mon': 'Closed', 'tue': '11:30-21:30', 'wed': '11:30-21:30', 'thu': '11:30-21:30', 'fri': '11:30-21:30', 'sat': '11:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LCKFABR6UYHE/hero/8f1b6acddc5d4fed830d41e13a271a66_1614249401892183926.jpg,3.6,"[1.3121832126279944, 103.83983973893513]",3,8,NEWTON
Modern Grill Seafood,Modern Grill Seafood - Newton Food Centre [Islandwide Delivery],"['BBQ', 'Seafood', 'Halal', 'Local', 'Islandwide Delivery']",1.3119575,103.83951143,"{'open': True, 'displayedHours': '15:00-21:00', 'sun': '15:00-21:00', 'mon': '15:00-21:00', 'tue': '15:00-21:00', 'wed': '15:00-21:00', 'thu': 'Closed', 'fri': '15:00-21:00', 'sat': '15:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDUEBNWGAUFRX/hero/15790762371d4d7a80bcd3fb79f1eb54_1587354764221041960.jpeg,4.5,"[1.3119575, 103.83951143]",3,8,NEWTON
Man Kou Xiang Vegetarian Fried Stinky Tofu,Man Kou Xiang Vegetarian Fried Stinky Tofu - Clemenceau Ave North [Islandwide Delivery],"['Asian', 'Chinese', 'Local', 'Vegetarian Friendly']",1.3121850666666666,103.8395163,"{'open': True, 'displayedHours': '12:00-23:00', 'sun': '12:00-23:00', 'mon': '12:00-23:00', 'tue': '12:00-23:00', 'wed': '12:00-23:00', 'thu': '12:00-23:00', 'fri': '12:00-23:00', 'sat': '12:00-23:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JGV4LZRTE2R6/hero/581f4ab747c34c5e8779f1ef309e3a6e_1610696956841117794.jpg,4.4,"[1.3121850666666666, 103.8395163]",3,8,NEWTON
XO Minced Meat Noodle,XO Minced Meat Noodle - Newton Food Centre [Islandwide Delivery],['Chinese'],1.31176984,103.8395766,"{'open': True, 'displayedHours': '00:00-23:59', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2B1UE42RFNJVN/hero/557347693a6c48519fddee34264e103b_1605348780384744589.jpeg,3.9,"[1.31176984, 103.8395766]",3,8,NEWTON
Mia Tavola,Mia Tavola - One Dusun Residences ,"['Dessert', 'Italian', 'Islandwide Delivery']",1.32731100389451,103.84374463219744,"{'displayedHours': 'Closed', 'sun': '11:00-15:00', 'mon': 'Closed', 'tue': 'Closed', 'wed': '09:00-16:00', 'thu': '09:00-16:00', 'fri': '09:00-16:00', 'sat': '09:00-16:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2AGCEVJERCWR2/hero/7ba4cf6c4b2644358c0a562635376d77_1601630907128099813.jpeg,5.0,"[1.32731100389451, 103.84374463219744]",3,8,NOVENA
The Plattering Co.,The Plattering Co. - Cavan Road ,"['Sandwiches', 'Bento', 'Pasta', 'Dessert']",1.31086,103.86163,"{'open': True, 'displayedHours': '10:00-19:00', 'sun': '10:00-19:00', 'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZC2TLBURP4KJT/hero/0595c4ef1dc343fb92729a9cfb271bbf_1598430286574434701.jpeg,0.0,"[1.31086, 103.86163]",3,8,KALLANG
168 Mookata,168 Mookata - Cambridge Road,"['Asian', 'BBQ', 'Seafood', 'Thai']",1.3153,103.84941,"{'displayedHours': 'Closed', 'sun': '17:00-22:00', 'mon': 'Closed', 'tue': '17:00-22:00', 'wed': '17:00-22:00', 'thu': '17:00-22:00', 'fri': '17:00-22:00', 'sat': '17:00-22:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2T2JFMGLTBCL6/hero/09221be7afc044aca048b9ccfe5a4be4_1621841566627556735.jpg,0.0,"[1.3153, 103.84941]",3,8,NOVENA
Heavenly Taste 天味,Heavenly Taste 天味 - Kitchener Road [Islandwide Delivery],"['Asian', 'Beverages', 'Chinese', 'Local', 'Seafood']",1.30998,103.85684,"{'open': True, 'displayedHours': '00:00-1:45 11:00-23:59', 'sun': '00:00-1:45 11:00-23:59', 'mon': '00:00-1:45 11:00-23:59', 'tue': '00:00-1:45 11:00-23:59', 'wed': '00:00-1:45 11:00-23:59', 'thu': '00:00-1:45 11:00-23:59', 'fri': '00:00-1:45 11:00-23:59', 'sat': '00:00-1:45 11:00-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UBC4CER2JZC2/hero/b80174054dd04c0da05de5f8781ac74e_1622116844905317421.jpg,0.0,"[1.30998, 103.85684]",3,8,ROCHOR
Soi 47 Thai Food,Soi 47 Thai Food - King George's Ave,"['Asian', 'Thai', 'Seafood', 'Noodles', 'Rice']",1.3102156,103.8617517,"{'open': True, 'displayedHours': '11:00-21:30', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLYSF5KPEN3GA/hero/a3a32093981f43b1b0cf519d8b162c49_1598428239758779024.jpeg,4.2,"[1.3102156, 103.8617517]",3,8,KALLANG
