Unnamed: 0,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
14491,Kaffe & Toast,Kaffe & Toast - Woodlands Civic Centre,"[""Halal"", ""Breakfast & Brunch"", ""Western"", ""Coffee"", ""Tea""]",1.4352072419143838,103.78696382046002,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00617/hero/b0d0c5a507ad45b28e81302b47e66ca0_1568970290251534841.jpeg,4.4,"[1.4352072419143838, 103.78696382046002]",7,6
14496,Dip N Go,Dip N Go - Woodlands MRT Station,"[""Local"", ""Snack"", ""Halal"", ""Western"", ""Chicken""]",1.4365536245966488,103.7862448,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDXJTBVELDGJE/hero/cf16eaa278944b7c93d3fbd914317fd7_1588908071858408105.jpeg,4.4,"[1.4365536245966488, 103.7862448]",7,6
14511,Sheng Noodles,Sheng Noodles - Woodlands Ave 1,"[""Chinese"", ""Seafood"", ""Same Prices In-Store""]",1.43282,103.7851,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYMCJ7XURE4AJN/hero/d8558a6707084c3683be73455ce6ce26_1567760163729524449.jpg,4.3,"[1.43282, 103.7851]",7,6
14526,Sowl Coffee,Sowl Coffee - Woods Square,"[""Beverages"", ""Coffee & Tea"", ""Snack""]",1.43493976488206,103.78591859014688,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KCJ7CDPAVYDE/hero/271d6414194d463da4729f2a933153f4_1612247443726390073.jpg,5.0,"[1.43493976488206, 103.78591859014688]",7,6
14534,Aburi,Aburi-EN - Causeway Point,"[""Japanese"", ""Asian""]",1.435646108,103.7854955,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY6KCTA2WEV2TE/hero/d1e07f76ec7148dea32acd40eb6430fe_1590995247788598343.jpeg,4.4,"[1.435646108, 103.7854955]",7,6
14539,The HandBurger,The HandBurger - Woods Square,"[""Breakfast & Brunch"", ""Chicken"", ""Western"", ""Burger""]",1.435025946590909,103.78605673159726,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EWUFKXCNBHCE/hero/8c3ff7e8889e41fc93d1375c19da8da7_1609390423678058052.jpeg,4.1,"[1.435025946590909, 103.78605673159726]",7,6
14547,nomVnom Xpress,nomVnom Xpress - Woods Square,"[""Bubble Tea"", ""Fast Food"", ""Vegetarian Friendly"", ""Vegan"", ""Burger""]",1.4349563012364257,103.78618678549714,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MBGPVHAY2EAE/hero/5c4bf106bc4940719579190ae64482b8_1617100491082010736.png,4.6,"[1.4349563012364257, 103.78618678549714]",7,6
14548,innisfree,innisfree - Causeway Point #01-24,"[""Mart"", ""Health & Wellness"", ""Health & Beauty"", ""Wellness""]",1.4359112525000002,103.78568948552632,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZM2DCDKCAM1JN/hero/27bcb0008ff7440d8a52156cc21b2e36_1597824947593280080.png,4.9,"[1.4359112525000002, 103.78568948552632]",7,6
14549,Sanook Kitchen,Sanook Kitchen - Woods Square,"[""Thai"", ""Halal"", ""Seafood""]",1.435376462556448,103.7862009262683,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CKDFVDNTEGJE/hero/eeb162ec5b1645a6bf9cbdf021c48abf_1604975803984045090.jpeg,4.0,"[1.435376462556448, 103.7862009262683]",7,6
14550,Idaten Udon,Idaten Udon - Causeway Point,"[""Japanese""]",1.4356824892792446,103.78602256707194,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJYVBM1RNVKE6/hero/2087b014102e46a589f949374abcf43d_1604199696930752404.jpeg,4.5,"[1.4356824892792446, 103.78602256707194]",7,6
14551,Each A Cup,Each A Cup - Causeway Point,"[""Bubble Tea"", ""Asian"", ""Beverages"", ""Tea""]",1.4359404558269802,103.78593803724424,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CDTRBWRLCYL6/hero/0351822750694c71bbcd41e5e41f12cf_1604387440327390212.png,4.7,"[1.4359404558269802, 103.78593803724424]",7,6
14558,Rollie Olie,Rollie Olie - Woods Square,"[""Japanese"", ""Seafood"", ""Healthy"", ""Sushi""]",1.434776105132489,103.78575460333728,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01953/hero/upload-photo-Hero_Photo_d533d29067f54058a73edd0ad256a00e_1554951976620801060.jpeg,4.6,"[1.434776105132489, 103.78575460333728]",7,6
14560,Greathai,Greathai - Causeway Point,"[""Asian"", ""Thai""]",1.4359834476190476,103.78614324111555,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2B1RNCAAVDCNT/hero/39e2f3dd8cec47d3b1eed8c8c88f4f48_1620963513563632293.jpeg,4.5,"[1.4359834476190476, 103.78614324111555]",7,6
14562,Wester,Wester - Causeway Point,"[""Western""]",1.435899,103.7862493,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CFRJ4ZR7WJHA/hero/cbdaaeedc3774b8797d87d7dede94af6_1620014140782503523.jpeg,4.3,"[1.435899, 103.7862493]",7,6
14563,Rocky Master,Rocky Master - Woods Square,"[""Asian"", ""Beverages"", ""Western""]",1.4346034,103.7861591,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EUJ8CDHA6HAA/hero/cde0189e41fa472daff15a69d797c0da_1609149490690564972.jpeg,4.5,"[1.4346034, 103.7861591]",7,6
14565,Tartini Kitchen Pasta & Grill,Tartini Kitchen Pasta & Grill - Causeway Point,"[""Western"", ""Local"", ""Same Prices In-Store"", ""Singaporean""]",1.436018592,103.7862573,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKYVKJCNAE3FA/hero/627faf3654ca4044be5ac19890464e6e_1597213869499672964.jpeg,3.2,"[1.436018592, 103.7862573]",7,6
14566,Xpressflower.com,Xpressflower - Causeway Point,"[""Local"", ""Flowers"", ""Mart""]",1.4356139,103.7855374,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZATRPAFA8KHLT/hero/004ef5b570e64d28944506aa75eb1501_1581317075356824535.jpeg,4.8,"[1.4356139, 103.7855374]",7,6
14567,Dough Culture,Dough Culture - Causeway Point,"[""Asian"", ""Snack"", ""Halal"", ""Dim Sum""]",1.4362390204567816,103.78630144270994,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11088/hero/DoughCulture_Hero_16x9.jpg,4.6,"[1.4362390204567816, 103.78630144270994]",7,6
14569,Sushi Takeout,Sushi Takeout - Woodlands Mrt Station,"[""Japanese"", ""Sushi"", ""Asian"", ""Healthy"", ""Islandwide Delivery""]",1.4365577413333332,103.78625660676124,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYLXGEMBCTNYAX/hero/ff5f76df809b4165b5031b004cfda959_1572187214911408463.png,4.4,"[1.4365577413333332, 103.78625660676124]",7,6
