name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j
Singapore Memories,Singapore Memories - The Makena,"['Specialties', 'Mart']",1.2965840318910016,103.89416345631874,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZE2ABJATAEWEX/hero/74bc1382a1834c54850973b49bfd8a9a_1611653117929250851.jpg,1.0,"[1.2965840318910016, 103.89416345631874]",2,10
Vatan Se,Vatan Se - Tanjong Katong Road ,"['Indian', 'Asian', 'Alcohol']",1.3029602959048192,103.89685691343983,"{'displayedHours': 'Closed', 'sun': '10:00-14:15 17:00-22:15', 'mon': '12:00-14:15 17:00-21:15', 'tue': '12:00-14:15 17:00-21:15 22:15-23:15', 'wed': '12:00-14:15 17:00-21:15', 'thu': '12:00-14:15 17:00-21:15', 'fri': '12:00-14:15 17:00-22:15', 'sat': '10:00-14:15 17:00-22:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDFVB5BGNLJGN/hero/888ea2dc26a845c88f38c10048ca82d3_1586595102717743741.jpeg,3.5,"[1.3029602959048192, 103.89685691343983]",2,10
Pizza Hut,Pizza Hut - Tanjong Katong Road,"['Pizza', 'Halal', 'Fast Food', 'Western', 'Pasta']",1.3081038196078432,103.8952188,"{'open': True, 'displayedHours': '10:00-22:00', 'sun': '10:00-22:00', 'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY3KMFAEPE4HET/hero/0cd6087f0645458ca1935149c86cbd03_1591695174871275301.png,4.2,"[1.3081038196078432, 103.8952188]",2,10
Maki-San,Maki-San - Parkway Parade,"['Japanese', 'Sushi', 'Halal', 'Healthy']",1.3015415285714285,103.90526135666668,"{'open': True, 'displayedHours': '10:30-21:00', 'sun': '10:30-21:00', 'mon': '10:30-21:00', 'tue': '10:30-21:00', 'wed': '10:30-21:00', 'thu': '10:30-21:00', 'fri': '10:30-21:00', 'sat': '10:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYLTMAUTV4BEVN/hero/2ae253b36707435081004d2f2c99333b_1605060766223086893.jpeg,4.4,"[1.3015415285714285, 103.90526135666668]",2,10
Crave,Crave - Parkway Parade,"['Local', 'Chicken']",1.301863,103.9051271,"{'open': True, 'displayedHours': '10:00-20:00', 'sun': '10:00-20:00', 'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '10:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZC2T6LXVGKJGA/hero/1672b9bd21154613babc35d49dc48f0e_1596433217085918395.jpeg,4.5,"[1.301863, 103.9051271]",2,10
So Pho,So Pho - Parkway Parade,"['Noodles', 'Vietnamese', 'Same Prices In-Store', 'Halal', 'Dessert']",1.301530892132301,103.9051165,"{'open': True, 'displayedHours': '11:00-21:25', 'sun': '11:00-21:25', 'mon': '11:00-21:25', 'tue': '11:00-21:25', 'wed': '11:00-21:25', 'thu': '11:00-21:25', 'fri': '11:00-21:25', 'sat': '11:00-21:25'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD03056/hero/upload-photo-Hero_Photo_f65c64613e424f809c2115cfd8ce5366_1555989644716057677.jpeg,4.4,"[1.301530892132301, 103.9051165]",2,10
My Kitchen,My Kitchen - Tanjong Katong Road[Islandwide Delivery],"['Western', 'Indian', 'Mexican']",1.30474845,103.89629788,"{'displayedHours': 'Closed', 'sun': '00:00-05:30 11:00-22:00 22:30-23:59', 'mon': 'Closed', 'tue': '00:00-05:30 11:00-22:00 22:30-23:59', 'wed': '00:00-05:30 11:00-22:00 22:30-23:59', 'thu': '00:00-05:30 11:00-22:00 22:30-23:59', 'fri': '00:00-05:30 11:00-22:00 22:30-23:59', 'sat': '00:00-05:30 11:00-22:00 22:30-23:59', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDJJTK3J8BYVT/hero/5e80f9ce6cbf4b07a2333b6ca8951855_1618476292932676750.jpeg,4.4,"[1.30474845, 103.89629788]",2,10
CAMELLIA,CAMELLIA - Meyer Road,"['Gifts', 'Tea', 'Groceries', 'Mart']",1.296898613,103.8953512,"{'displayedHours': 'Closed', 'sun': '11:00-19:00', 'mon': '11:00-19:00', 'tue': '11:00-19:00', 'wed': '11:00-19:00', 'thu': '11:00-19:00', 'fri': '11:00-19:00', 'sat': '11:00-19:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZEYG8NHGP63TJ/hero/7e128db0c4524940b44a3235c49cd824_1590977446780488982.png,0.0,"[1.296898613, 103.8953512]",2,10
BBS Resource Trading Pte. Ltd.,BBS Resource Trading Pte. Ltd. - Tanjong Katong Road,"['Alcohol', 'Groceries', 'Mart']",1.3075981,103.89527204,"{'displayedHours': 'Closed', 'sun': '08:00-22:30', 'mon': '08:00-22:30', 'tue': '08:00-22:30', 'wed': '08:00-22:30', 'thu': '08:00-22:30', 'fri': '08:00-22:30', 'sat': '08:00-22:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CFRTNTNEEEG6/hero/95ff90c130cf447ea529da7d171a829a_1611402622412378837.jpeg,0.0,"[1.3075981, 103.89527204]",2,10
Hoshi Hill,Hoshi Hill - Tanjong Katong Road,['Japanese'],1.305765,103.89582101615343,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2E1JGCCJ2L3DE/hero/6b34ccd9b01f4956a7698af07aca01ff_1610016955069568966.png,4.7,"[1.305765, 103.89582101615343]",2,10
Din Tai Fung,Din Tai Fung - Parkway Parade,"['Asian', 'Chinese']",1.30176419375,103.90528215,"{'open': True, 'displayedHours': '11:00-20:20', 'sun': '11:00-20:20', 'mon': '11:00-20:20', 'tue': '11:00-20:20', 'wed': '11:00-20:20', 'thu': '11:00-20:20', 'fri': '11:00-20:20', 'sat': '11:00-20:20'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZA3CBUARP3ZV6/hero/33298baf4c7849a7ad1cc5d212dd09a1_1590208970962326005.jpeg,4.4,"[1.30176419375, 103.90528215]",2,10
Starbucks,Starbucks - Parkway Parade,"['Western', 'Sandwiches', 'Dessert', 'Coffee', 'Tea']",1.3018679604791856,103.90515768273592,"{'open': True, 'displayedHours': '08:00-21:30', 'sun': '08:00-21:30', 'mon': '08:00-21:30', 'tue': '08:00-21:30', 'wed': '08:00-21:30', 'thu': '08:00-21:30', 'fri': '08:00-21:30', 'sat': '08:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYXJRRKKA6DJWE/hero/121daa46c54e47009ea27aaf894a2105_1618363652410822712.jpeg,4.4,"[1.3018679604791856, 103.90515768273592]",2,10
Mix & Match Malls (Food) - Marine Parade,Mix & Match Malls (Food) - Marine Parade,"['Local', 'Western', 'Thai', 'Dessert', 'Japanese']",1.3015131591770648,103.90540192218629,"{'open': True, 'displayedHours': '10:30-21:00', 'sun': '10:30-21:00', 'mon': '10:30-21:00', 'tue': '10:30-21:00', 'wed': '10:30-21:00', 'thu': '10:30-21:00', 'fri': '10:30-21:00', 'sat': '10:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DBCBMVCX61TJ/hero/1017ffe1f59449bf85267007f9364765_1606142580819728641.jpeg,4.3,"[1.3015131591770648, 103.90540192218629]",2,10
6 Letter Coffee,6 Letter Coffee - Beng Tong Mansion,"['Western', 'Breakfast & Brunch', 'Coffee', 'Beverages', 'Kids Friendly']",1.3079073,103.8953411,"{'open': True, 'displayedHours': '08:00-21:00', 'sun': '08:00-20:00', 'mon': '08:00-20:00', 'tue': '08:00-20:00', 'wed': '08:00-20:00', 'thu': '08:00-20:00', 'fri': '08:00-21:00', 'sat': '08:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYT3VBLTGRLHC6/hero/d716aef42bb44a43aa403c1a288e5cb1_1563360653270154256.jpeg,4.5,"[1.3079073, 103.8953411]",2,10
Food Republic,Food Republic - Parkway Parade,"['Asian', 'Local', 'Singaporean']",1.3013002826318536,103.90519298477685,"{'open': True, 'displayedHours': '11:00-20:00', 'sun': '11:00-20:00', 'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '11:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DWGF6UBGJGCA/hero/bce382d0e3684a50a9714ca15c0d11df_1607333971753971857.jpeg,4.4,"[1.3013002826318536, 103.90519298477685]",2,10
Baker's Well,Baker's Well - 35 East Coast Road,"['Western', 'Snacks', 'Breakfast & Brunch', 'Bakery', 'Bread']",1.3046705977876758,103.9029708,"{'open': True, 'displayedHours': '08:00-20:30', 'sun': '08:00-20:30', 'mon': '08:00-20:30', 'tue': '08:00-20:30', 'wed': '08:00-20:30', 'thu': '08:00-20:30', 'fri': '08:00-20:30', 'sat': '08:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD00263/hero/a94bb2a894984cde81437d2f41cacb38_1585884337846439692.jpeg,4.5,"[1.3046705977876758, 103.9029708]",2,10
Domino's,Domino's - Tanjong Katong,"['Western', 'Fast Food', 'Pizza', 'Halal', 'Chicken']",1.30638,103.89601,"{'open': True, 'displayedHours': '10:30-23:00', 'sun': '10:30-23:00', 'mon': '10:30-23:00', 'tue': '10:30-23:00', 'wed': '10:30-23:00', 'thu': '10:30-23:00', 'fri': '10:30-23:00', 'sat': '10:30-23:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08907/hero/dffa5a3205ed4dad8fd78c13e30a224c_1620730384905900013.jpg,4.2,"[1.30638, 103.89601]",2,10
Putien,Putien - Parkway Parade,"['Asian', 'Noodles', 'Dessert']",1.3020432977232304,103.90523015689443,"{'open': True, 'displayedHours': '11:30-20:15', 'sun': '11:30-20:15', 'mon': '11:30-20:15', 'tue': '11:30-20:15', 'wed': '11:30-20:15', 'thu': '11:30-20:15', 'fri': '11:30-20:15', 'sat': '11:30-20:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNKN8BKAJ3TDE/hero/b2717a6bf81f4884bc6f823e56b96eb4_1617085855371000710.jpg,4.4,"[1.3020432977232304, 103.90523015689443]",2,10
Long Tang Roasts,Long Tang Roasts - Tanjong Katong Road,['Asian'],1.30589,103.89578,"{'open': True, 'displayedHours': '11:00-21:00', 'sun': '11:00-21:00', 'mon': '11:00-21:00', 'tue': '11:00-21:00', 'wed': '11:00-21:00', 'thu': '11:00-21:00', 'fri': '11:00-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LFPFNVFFM2HE/hero/73b76b9c52894da2be26914179acf91b_1616137703245258532.jpeg,5.0,"[1.30589, 103.89578]",2,10
328 Katong Laksa,328 Katong Laksa - East Coast Road [Islandwide Delivery],"['Local', 'Dim Sum', 'Nasi Lemak']",1.3052038007569766,103.90344928736825,"{'open': True, 'displayedHours': '10:15-21:15', 'sun': '10:15-21:15', 'mon': '10:30-21:15', 'tue': '10:15-21:15', 'wed': '10:15-21:15', 'thu': '10:15-21:15', 'fri': '10:15-21:15', 'sat': '10:15-21:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJTA7WDRCDVLJ/hero/7d1a182487824d23b9dd6a4cb1d1f01b_1591007667030582462.jpg,4.2,"[1.3052038007569766, 103.90344928736825]",2,10
Bikanervala,Bikanervala - Beng Tong Mansion [Islandwide Delivery],"['Indian', 'Vegetarian Friendly', 'Snack']",1.3081676133761395,103.8953566672828,"{'open': True, 'displayedHours': '11:00-22:00', 'sun': '11:00-22:00', 'mon': '11:00-22:00', 'tue': '11:00-22:00', 'wed': '11:00-22:00', 'thu': '11:00-22:00', 'fri': '11:00-22:00', 'sat': '11:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JGWFNKV2CGCA/hero/66fbe626846e4d72909bde4f4945533f_1610705985969311803.jpeg,3.5,"[1.3081676133761395, 103.8953566672828]",2,10
Oh! Kebab & Oh! Biryani at East Coast @Indian & Lebanese Cuisine,Oh! Kebab & Oh! Biryani at East Coast @Indian & Lebanese Cuisine - East Coast Road ,"['Indian', 'Islandwide Delivery']",1.30513,103.90322,"{'open': True, 'displayedHours': '00:00-04:00 09:45-23:59', 'sun': '00:00-04:00 09:45-23:59', 'mon': '00:00-04:00 09:45-23:59', 'tue': '00:00-04:00 09:45-23:59', 'wed': '00:00-04:00 09:45-23:59', 'thu': '00:00-04:00 09:45-23:59', 'fri': '00:00-04:00 09:45-23:59', 'sat': '00:00-04:00 09:45-23:59'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LFVGKZAUEUAT/hero/2f5827009fb94de7919c5f55945d4fe6_1614648341434930139.jpeg,1.8,"[1.30513, 103.90322]",2,10
The Sense House,The Sense House - Parkway Parade,"['Health & Wellness', 'Mart', 'Wellness']",1.3016575,103.9050928,"{'open': True, 'displayedHours': '11:00-22:00', 'sun': '11:00-22:00', 'mon': '11:00-22:00', 'tue': '11:00-22:00', 'wed': '11:00-22:00', 'thu': '11:00-22:00', 'fri': '11:00-22:00', 'sat': '11:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLXAEE1DEWVAE/hero/36194e1eeacf4888adc73db9cdb92445_1595436700933411435.jpeg,5.0,"[1.3016575, 103.9050928]",2,10
