name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j
Traditional Sarawak Kolo Mee,Traditional Sarawak Kolo Mee - Northpoint City,"['Convenience', 'Local', 'Malaysian', 'Noodles', 'Singaporean']",1.4281456650217024,103.83608828703473,"{'displayedHours': 'Closed', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MVN8LJL4BGHE/hero/e5d004b9e52e4fbbaf6e188d00994613_1617354986291005750.jpeg,4.1,"[1.4281456650217024, 103.83608828703473]",7,7
Tonkotsu Kazan Ramen,Tonkotsu Kazan (Volcano Ramen) - Northpoint City,"['Japanese', 'Asian', 'Ramen']",1.4282706937884626,103.83609803274072,"{'displayedHours': 'Closed', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08450/hero/b32bcc357a5c4d3bb0cb799968bf7dc1_1578549732779755661.jpeg,4.5,"[1.4282706937884626, 103.83609803274072]",7,7
umisushi,umisushi - Northpoint City,"['Japanese', 'Sushi', 'Asian', 'Same Prices In-Store']",1.428521498940114,103.83633125716769,"{'displayedHours': 'Closed', 'sun': '11:30-20:50', 'mon': '11:30-20:50', 'tue': '11:30-20:50', 'wed': '11:30-20:50', 'thu': '11:30-20:50', 'fri': '11:30-20:50', 'sat': '11:30-20:50'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYUWR4KDJE33HA/hero/ca08fc82cbc146b69116d3061e7fcba2_1573396980488411937.jpeg,4.2,"[1.428521498940114, 103.83633125716769]",7,7
Hong Kong Sheng Kee Dessert,Hong Kong Sheng Kee Dessert - Northpoint City,"['Chinese', 'Asian', 'Dim Sum', 'Snack']",1.4285811725655009,103.83624800660904,"{'displayedHours': 'Closed', 'sun': '10:45-21:00', 'mon': '10:45-21:00', 'tue': '11:00-21:00', 'wed': '10:45-21:00', 'thu': '10:45-21:00', 'fri': '10:45-21:00', 'sat': '11:00-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD07259/hero/6dd7a1892eb14d91bdce519f85be8749_1617870655264407751.jpeg,4.3,"[1.4285811725655009, 103.83624800660904]",7,7
Playmade by 丸作,Playmade by 丸作 - Northpoint City,"['Beverages', 'Bubble Tea', 'Asian']",1.4286913666666667,103.8362989,"{'displayedHours': 'Closed', 'sun': '10:30-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '10:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DTR8LYNVABAA/hero/62a8330e03c74755b8a31ee3cbaf6cc2_1620619654795239334.jpeg,4.5,"[1.4286913666666667, 103.8362989]",7,7
Shihlin Taiwan Street Snacks,Shihlin Taiwan Street Snacks - Northpoint City,"['Chicken', 'Bubble Tea', 'Snack', 'Asian']",1.4293925762176511,103.83635234832762,"{'displayedHours': 'Closed', 'sun': '11:30-21:15', 'mon': '11:30-21:15', 'tue': '11:30-21:15', 'wed': '11:30-21:15', 'thu': '11:30-21:15', 'fri': '11:30-21:15', 'sat': '11:30-21:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09014/hero/332fb7e8289246d4b1a0b24d6850109a_1617592912325403153.jpeg,4.3,"[1.4293925762176511, 103.83635234832762]",7,7
A-One Claypot House,A-One Claypot House - Northpoint,"['Chinese', 'Asian', 'Porridge', 'Local', 'Chicken']",1.4295149652814274,103.83653107123403,"{'displayedHours': 'Closed', 'sun': '10:30-21:30', 'mon': '10:30-21:30', 'tue': '10:30-21:30', 'wed': '10:30-21:30', 'thu': '10:30-21:30', 'fri': '10:30-21:30', 'sat': '10:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD02744/hero/8481ff17eb184960bb2843ad01bc15e4_1621218633574560291.jpeg,4.3,"[1.4295149652814274, 103.83653107123403]",7,7
Swee Heng Bakery,Swee Heng Bakery - Northpoint City,"['Bakery & Cake', 'Breakfast & Brunch', 'Halal']",1.42961397636716,103.836640268813,"{'displayedHours': 'Closed', 'sun': '10:00-19:00', 'mon': '10:00-19:00', 'tue': '10:00-19:00', 'wed': '10:00-19:00', 'thu': '10:00-19:00', 'fri': '10:00-19:00', 'sat': '10:00-19:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UBVKD2CTUWE2/hero/44a5e4ef02b74aebaf3604bd58d643b7_1622192478207681920.jpg,0.0,"[1.42961397636716, 103.836640268813]",7,7
El Carbon,El Carbon - Yishun Street 71,"['Pasta', 'Halal', 'Seafood', 'Western', 'Islandwide Delivery']",1.426169025296531,103.82846638721765,"{'displayedHours': 'Closed', 'sun': '11:30-21:00', 'mon': '11:00-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD11811/hero/e2f81889898c4a6ea71d6a6c31141116_1612362889584871473.jpeg,4.3,"[1.426169025296531, 103.82846638721765]",7,7
HockHua Tonic,HockHua Tonic - North Point City,"['Gifts', 'Hampers', 'Health & Wellness']",1.4293479506493507,103.8360676,"{'displayedHours': 'Closed', 'sun': '12:00-20:00', 'mon': '12:00-20:00', 'tue': '12:00-20:00', 'wed': '12:00-20:00', 'thu': '12:00-20:00', 'fri': '12:00-20:00', 'sat': '12:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JZGYNKEZCZVX/hero/2c53f39fef9b462e85add8c2e395e111_1611657946786377583.jpeg,5.0,"[1.4293479506493507, 103.8360676]",7,7
