Unnamed: 0,name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j,nearest_town,website
48,Akimitsu,Akimitsu - VivoCity,"['Japanese', 'Noodles', 'Chicken', 'Ramen']",1.2636536833333332,103.8232694,"{'open': True, 'displayedHours': '11:00-20:30', 'sun': '11:00-20:30', 'mon': '11:00-20:30', 'tue': '11:00-20:30', 'wed': '11:00-20:30', 'thu': '11:00-20:30', 'fri': '11:00-20:30', 'sat': '11:00-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08368/hero/akimitsu.png,4.5,"[1.2636536833333332, 103.8232694]",1,7,HARBOURFRONT,https://www.instagram.com/akimitsusg/?hl=en
49,Pizzakaya,Pizzakaya - Vivo City,"['Japanese', 'Pizza', 'Western']",1.2635233,103.8216938,"{'open': True, 'displayedHours': '11:30-20:45', 'sun': '11:30-20:45', 'mon': '11:30-20:45', 'tue': '11:30-20:45', 'wed': '11:30-20:45', 'thu': '11:30-20:45', 'fri': '11:30-20:45', 'sat': '11:30-20:45'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DYUENVNATCT6/hero/fa5fd96e51b84d95bae21844933431e1_1607593939240862202.jpeg,4.7,"[1.2635233, 103.8216938]",1,7,HARBOURFRONT,https://www.instagram.com/pizzakayasg/?hl=en
50,Barossa Bar & Grill,Barossa Bar & Grill - Vivo City,['Western'],1.265001603,103.8227093,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KWT4CGAK3DC2/hero/b944fad8c46c4bfd94f1a7d281122301_1613438056584694681.jpeg,0.0,"[1.265001603, 103.8227093]",1,7,HARBOURFRONT,https://www.barossa.com.sg/
51,SF Fruits & Juices,SF Fruits & Juices - Vivo City,"['Fruit', 'Groceries', 'Mart']",1.2647901,103.8221117,"{'open': True, 'displayedHours': '09:00-22:00', 'sun': '09:00-20:30', 'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZD2C8AJEYAWEX/hero/a09406dd43204223a7bcc220293561da_1619433378011390713.png,4.3,"[1.2647901, 103.8221117]",1,7,HARBOURFRONT,https://sfsingapore.com/
52,Unity,Unity - Vivocity,"['Pharmacy', 'Wellness', 'Mart', 'Health & Beauty', 'Pharmacy/Health']",1.26408665,103.82306004285714,"{'open': True, 'displayedHours': '09:00-22:00', 'sun': '09:00-22:00', 'mon': '09:00-22:00', 'tue': '09:00-22:00', 'wed': '09:00-22:00', 'thu': '09:00-22:00', 'fri': '09:00-22:00', 'sat': '09:00-22:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJ1NNW2KBXBFE/hero/2c715ba5263b4e83b093f31ddc88e480_1593416392037123764.jpeg,4.6,"[1.26408665, 103.82306004285714]",1,7,HARBOURFRONT,https://unity.com/
53,Crystal Jade Dining In,Crystal Jade Dining In - VivoCity,"['Asian', 'Chinese', 'Porridge']",1.2635574333333333,103.8223703,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJFNJVYCPBDME/hero/1d7ebc28fbe54c28be0155821afe6f77_1592293195908396240.jpeg,4.6,"[1.2635574333333333, 103.8223703]",1,7,HARBOURFRONT,https://www.crystaljade.com/
54,Tajimaya Yakiniku,Tajimaya Yakiniku - Vivocity,['Japanese'],1.2636283,103.8228579,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:15', 'tue': '11:30-21:15', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09519/hero/7e2082ecf7d5405494d63a3b2726782d_1560940567702259517.png,2.7,"[1.2636283, 103.8228579]",1,7,HARBOURFRONT,https://www.tajimaya.com.sg/
55,Penang Culture,Penang Culture - Vivocity [Islandwide Delivery],"['Halal', 'Malaysian', 'Seafood', 'Asian', 'Islandwide Delivery']",1.264993158679772,103.82195792949648,"{'open': True, 'displayedHours': '11:30-21:00', 'sun': '11:30-21:00', 'mon': '11:30-21:00', 'tue': '11:30-21:00', 'wed': '11:30-21:00', 'thu': '11:30-21:00', 'fri': '11:30-21:00', 'sat': '11:30-21:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTWUBCFACBWGX/hero/d4d03d839347499293063e2adc2ceeb8_1610952131200919800.jpeg,4.1,"[1.264993158679772, 103.82195792949648]",1,7,HARBOURFRONT,http://penangculture.com.sg/penang-culture
56,Rive Gauche,Rive Gauche - Vivo City,"['Bakery & Cake', 'Mart', 'Dessert', 'Snacks']",1.2647812,103.8220022,"{'open': True, 'displayedHours': '11:00-20:15', 'sun': '11:00-20:15', 'mon': '11:00-20:15', 'tue': '11:00-20:15', 'wed': '11:00-20:15', 'thu': '11:00-20:15', 'fri': '11:00-20:15', 'sat': '11:00-20:15'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLACENHT2NKV2/hero/4bcf1c4fe17e4118ad37d93d8ceded44_1594016285429789829.jpeg,5.0,"[1.2647812, 103.8220022]",1,7,HARBOURFRONT,https://www.rivegauche.sg/our-cakes/
57,The Body Shop,The Body Shop - Vivocity,"['Mart', 'Health & Beauty', 'Wellness']",1.2650363437141436,103.82276817417392,"{'open': True, 'displayedHours': '11:00-20:00', 'sun': '11:00-20:00', 'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '11:00-20:00'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJWJ2XKE2KWT2/hero/0338837d2b174f599f7693822dccce5c_1598261268378845973.jpeg,4.8,"[1.2650363437141436, 103.82276817417392]",1,7,HARBOURFRONT,https://www.thebodyshop.com/en-sg/
