Unnamed: 0,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
7846,Seaworld Cafeteria,Seaworld Cafeteria - Tanah Merah Ferry Road,"[""Local"", ""Asian""]",1.3144116531999082,103.9889908,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKTRNKELU2XJJ/hero/2328c9245160475f8eea03f276d5ed3a_1593073128369428531.jpg,3.9,"[1.3144116531999082, 103.9889908]",3,13
7853,GoGoShoppes,GoGoShoppes - Changi South Ave 2 ,"[""Convenience"", ""Health & Wellness"", ""Islandwide Delivery""]",1.33506,103.97167,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2KBLTJCL3MZCX/hero/8c409d5c301445a0baf3068626f4a399_1612154102725595016.jpg,1.0,"[1.33506, 103.97167]",3,13
8272,Bistro Bowl,Bistro Bowl @ NSRCC,"[""Western"", ""Vegetarian"", ""Asian""]",1.319538577,103.9755274,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYNTLZKVUBJZEE/hero/8ce39c20f99149deac752fd3ba723043_1559149392525687155.jpeg,,"[1.319538577, 103.9755274]",3,13
11261,Ameeda Indian Muslim Food,Ameeda Indian Muslim Food - Tanah Merah Coast Road,"[""Asian"", ""Local"", ""Noodles"", ""Soup""]",1.3128364,103.9972533,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2C2RGCBLCJEAX/hero/9a479f0fe99d4155a60f53fea5d247a6_1605883578300867823.jpeg,,"[1.3128364, 103.9972533]",3,13
16112,Dian Lao Er - Fu Xin,Dian Lao Er - Fu Xin - Changi South Amenity Centre,"[""Asian"", ""Chinese"", ""Local"", ""Noodles"", ""Soup""]",1.33502,103.97075,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NULJ6XEELYTJ/hero/8f5f493704b14390bf429557686ff02c_1622423533202466320.jpeg,,"[1.33502, 103.97075]",3,13
