Unnamed: 0,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
15037,House Of Seafood,House Of Seafood - The Punggol Settlement,"[""Chinese"", ""Seafood"", ""Beverages"", ""Asian"", ""Local""]",1.420999635012281,103.9118729,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD01593/hero/feb45d68ed33cb365661d237fa5c951b,3.9,"[1.420999635012281, 103.9118729]",7,10
15044,Tandoor Lounge,Tandoor Lounge - The Punggol Settlement,"[""Indian"", ""Same Prices In-Store""]",1.420485,103.9125622,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCYN2WGR2AXRN/hero/34ccf57f68454a038be2821715e73304_1585903046834537025.jpeg,3.9,"[1.420485, 103.9125622]",7,10
15049,Relax Bar,Relax Bar - The Punggol Settlement,,1.4208439,103.912429,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2EVG4BDGEVTG6/hero/4e553afeb6b24ff499240ea84bbba12d_1609236823479629539.jpg,5.0,"[1.4208439, 103.912429]",7,10
15070,House Of White Bee Hoon,House Of White Bee Hoon - The Punggol Settlement,"[""Chinese""]",1.420593725,103.9125009,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JVFB4XSFXBFA/hero/0197f0e179ac4fe3b55a2927afb1d205_1611228754899088217.jpg,3.9,"[1.420593725, 103.9125009]",7,10
15166,Moonlight Masala,Moonlight Masala - The Punggol Settlement,"[""Indian"", ""Local""]",1.420727935885,103.912223000072,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MTAXLDBCECEJ/hero/9dab1626fec840ff817788143cd79122_1617083963868164216.jpeg,,"[1.420727935885, 103.912223000072]",7,10
15168,Trunk 95 At Bay Seaside Thai Cuisine,Trunk 95 At Bay Seaside Thai Cuisine - The Punggol Settlement,"[""Thai""]",1.4208347,103.91230345,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWARMAEAKKGA/hero/6795b1454d46413095810d83457be3e9_1587303963443249821.jpg,3.0,"[1.4208347, 103.91230345]",7,10
15586,Southwest@Punggol,Southwest@Punggol - The Punggol Settlement,"[""Alcohol"", ""Burgers"", ""Pasta"", ""Pizza"", ""Steak""]",1.4208011,103.9118052,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TCVGLWCRMDTA/hero/7ff9cc6c052b4b4da671ebd38af38363_1620291953199354612.jpg,3.5,"[1.4208011, 103.9118052]",7,10
15590,The Roti Roll,The Roti Roll - The Punggol Settlement,"[""Indian""]",1.420727935885,103.912223000072,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MTAXLDAJKGA2/hero/a04b8c9e489e4dd0b616da9ac2c139db_1617078680592724733.jpeg,,"[1.420727935885, 103.912223000072]",7,10
15592,Izakaya 95,Izakaya 95 - The Punggol Settlement,"[""Japanese"", ""Ramen"", ""Kids Friendly""]",1.420886117801143,103.9122566193024,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWARMFV8BEFA/hero/7b96b50f51194f8f88cc801e1f785db2_1587637031578766795.jpeg,4.0,"[1.420886117801143, 103.9122566193024]",7,10
15906,George's by the Bay,George's by the Bay - Punggol Point Road,"[""Western"", ""Pasta"", ""Salad"", ""Snack"", ""Sandwiches""]",1.4204670694475352,103.9125685,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05592/hero/f233ea5d854d45c69630729d592a0d2b_1619864288734442380.jpeg,3.8,"[1.4204670694475352, 103.9125685]",7,10
15908,Kampong Chai Chee Restaurant,Kampong Chai Chee Restaurant - Punggol,"[""Chinese"", ""Seafood"", ""Local"", ""Vegetarian""]",1.4208136309484871,103.91239696942851,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD06768/hero/KampongChaiCheeRestaurant_HeroShot_960x540.jpg,3.9,"[1.4208136309484871, 103.91239696942851]",7,10
